Precipitation_mm,Min_Temp_C,Max_Temp_C
0.0,19.9,29.4
96.4,19.6,28.3
43.8,19.8,27.4
0.3,19.8,29.8
12.7,20.0,30.0
39.0,19.7,28.3
3.3,20.0,29.5
0.5,20.5,29.2
9.6,20.0,28.6
9.4,20.4,30.0
0.0,20.6,26.3
36.4,20.0,27.4
29.6,20.1,27.6
16.8,20.0,24.0
19.2,19.2,26.7
3.8,20.5,27.0
7.5,20.3,29.6
0.0,21.0,31.7
20.8,18.5,30.0
7.8,19.0,28.7
0.3,19.7,28.0
10.8,19.4,29.4
19.6,19.4,30.8
0.7,20.4,30.1
37.4,19.7,29.2
3.2,20.0,29.0
62.8,19.4,27.5
0.6,20.7,30.3
5.8,19.4,30.9
0.0,20.6,29.7
22.2,20.2,31.5
36.4,20.7,28.5
27.2,20.2,28.4
2.0,20.4,29.1
26.7,20.5,28.2
11.4,20.0,24.0
63.0,19.3,26.0
2.8,19.8,26.8
1.8,19.2,30.0
0.8,20.3,31.3
0.0,19.6,28.6
59.2,19.7,28.4
0.3,19.5,28.6
1.8,19.0,30.0
4.4,19.9,30.0
4.0,20.2,27.4
7.6,20.0,23.6
4.8,19.0,27.0
3.4,20.3,28.4
3.6,20.0,24.8
7.3,18.1,29.5
56.2,19.2,28.6
6.5,19.2,28.0
0.6,19.5,28.5
0.0,19.5,24.4
14.5,18.2,29.0
18.0,18.4,25.0
4.4,18.8,26.5
12.2,17.8,28.6
0.0,19.0,29.6
0.0,18.0,29.6
0.2,18.8,28.3
0.0,17.6,29.2
0.0,15.4,29.4
0.0,15.7,30.4
0.0,17.8,29.0
0.0,18.9,30.7
0.0,19.3,30.1
0.0,19.0,28.0
1.6,18.6,30.3
0.0,18.6,29.4
0.0,17.2,30.3
0.0,17.2,30.6
0.6,18.6,31.0
0.0,16.8,30.5
0.0,18.2,25.0
0.8,16.9,23.8
0.0,17.2,28.4
7.4,18.2,22.6
12.3,17.0,30.0
0.0,18.7,27.6
0.0,17.0,29.9
0.0,16.7,29.3
0.0,17.7,30.0
0.0,18.2,29.0
0.0,16.7,28.6
0.0,13.7,28.1
0.0,15.6,26.6
0.0,13.0,28.4
0.0,12.0,27.7
0.0,12.4,28.2
0.0,14.3,26.0
0.0,13.0,27.8
0.0,11.2,26.8
0.0,12.5,26.3
0.0,12.0,28.3
0.0,14.5,28.1
0.0,13.7,28.0
0.0,12.4,28.3
0.0,11.5,28.6
0.0,11.0,28.5
0.0,11.2,28.5
0.0,12.0,28.2
0.0,11.2,29.0
0.0,11.6,27.0
0.0,10.6,27.4
0.0,12.2,27.0
0.0,11.8,27.3
0.0,13.7,27.0
0.0,13.6,27.4
0.0,11.0,26.5
0.0,10.6,27.0
0.0,13.3,22.5
0.0,8.5,24.4
0.0,7.4,25.6
0.0,7.6,25.0
0.0,8.4,25.5
0.0,7.5,25.5
0.0,7.4,26.0
0.0,8.0,26.5
0.0,7.8,27.2
0.0,8.5,26.1
0.0,8.6,25.5
